time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2025-01-10 03:24:52.413932, 1736450692400, 1, 13, 1.0, 3.0, 0.0, 1.8, 11.0, 
2025-01-10 03:24:52.615326, 1736450692600, 1, 6, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:24:54.824146, 1736450692800, 0, 2004, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:24:54.825261, 1736450694800, 1824, 1, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:24:55.006299, 1736450695000, 1, 5, 1.0, 3.0, 0.0, 1.8, 18.5, 
2025-01-10 03:24:55.225799, 1736450695200, 1, 6, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:24:57.416731, 1736450695400, 0, 2008, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:24:57.417715, 1736450697400, 1817, 0, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:24:57.606257, 1736450697600, 1, 5, 1.0, 3.0, 0.0, 1.8, 5.5, 
2025-01-10 03:24:57.825316, 1736450697800, 1, 4, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:25:00.018128, 1736450698000, 0, 2005, 1.0, 3.0, 0.0, 1.8, 13.0, 
2025-01-10 03:25:00.019154, 1736450700000, 1818, 1, 1.0, 3.0, 0.0, 1.8, 13.0, 
2025-01-10 03:25:00.227169, 1736450700200, 2, 25, 1.0, 3.0, 0.0, 1.8, 12.0, 
2025-01-10 03:25:00.403849, 1736450700400, 1, 2, 1.0, 3.0, 0.0, 1.8, 11.5, 
2025-01-10 03:25:02.615878, 1736450700600, 0, 2007, 1.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:25:02.617191, 1736450702600, 1816, 1, 1.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:25:02.812954, 1736450702800, 2, 11, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:25:03.007276, 1736450703000, 1, 6, 1.0, 3.0, 0.0, 1.8, 18.5, 
2025-01-10 03:25:05.212747, 1736450703200, 0, 2004, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:25:05.213728, 1736450705200, 1813, 0, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:25:05.403472, 1736450705400, 0, 2, 1.0, 3.0, 0.0, 1.8, 6.5, 
2025-01-10 03:25:05.612374, 1736450705600, 0, 3, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:25:07.816916, 1736450705800, 1, 2004, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:25:07.818154, 1736450707800, 1817, 1, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:25:08.002673, 1736450708000, 1, 1, 1.0, 3.0, 0.0, 1.8, 13.5, 
